Membership No  Date Joined  Active  
    50682      2015-10-23   yes   
    11602      2019-10-6    yes   
    50114      2016-5-6     yes   
    40576      2020-4-20    yes   
    44788      2019-4-19    yes   
    25948      2016-7-6     yes   
    11988      2019-8-5     yes   
    20995      2019-4-8     yes   
    89966      2018-2-11    yes   
    96562      2015-1-15    yes   
    89106      2018-3-16    yes   
    56070      2015-8-5     yes   
    21420      2018-5-1     yes   
    21822      2019-8-17    yes   
