Membership No  Date Joined  Active  
    98800      2015-9-6     no    
    67744      2019-10-4    no    
    77350      2018-9-11    no    
    88823      2018-10-1    no    
    92845      2019-11-24   no    
    77381      2018-10-6    no    
    18559      2020-7-20    no    
    83072      2018-6-5     no    
    26230      2020-10-9    no    
    96997      2020-11-1    no    
    39635      2018-3-15    no    
    35657      2019-6-11    no    
    88748      2019-3-9     no    
    26422      2016-10-7    no    
